author,count
Zafer Dogan,1
Suat Yildirim,6
Zeliha Celiker,1
Esen Bakhautdin,1
Devrim Bulut,1
Fatih Gelgi,5
Murat Yuksel,2
Karin De Villa,1
Ayse Meva Nur,4
Daniel Hummel,5
Kadir Firtina,2
Stanley Ridge,2
Rabbi Paul Jacobson,1
Sadiq Ansari,1
Cuneyt Unsal,1
Ertugrul Selcuklu,1
Rumeysa Yazar,3
M. Tarik Ozgur,3
Ali Kemal Unver,1
Hamdi Sener,3
Erdal Budak,1
Yasin Ceran,4
Ahmet Cetinkaya,2
Kaptan Murat Celebi,1
Victor Nitelea,1
Nizamettin Yildiz,2
Bagasra Omar- Pace D.gene,2
Mustafa Torun,1
Omar Bagasra  / Anisah B. Bagasra,1
Emru Kiydal,1
Asli Uzun,3
Mehmed Gokcel,1
Prof.dr. Ramadan Al-buti,1
Omer D. Ikramoglu,2
Nazim Intepe,1
Mehmet A. Ozturk,1
Pavel A. Kovganko,2
Mustafa Armagan,2
Omer Said Gonullu,5
Mehmet Camalan,1
V. Karsli,1
M. S. Ozcan,1
N. Delen,1
Ali Unal,13
A. Bilir,1
M. F. Yildirim,1
M. Temiz,3
I. Bal,2
O. A. Joseph,1
M. Sahin,1
Selma Dagtas,1
Erin J. Carlson,1
Coval Macdonald,1
Emin Kilic,1
Talha Ugurluel,2
Mehmet Seker,2
Resit Haylamaz,2
Sait Onal,1
Abd Al-salam Ibrahim,1
Umit Simsek,1
Suleyman Cenkci,1
Alexa Kopil,1
F. B. Rahim,5
A. Sahin,6
Kerim Balci,1
Huseyin Algul,1
Maimul Ahsan Khan,1
Sehnaz Dogu Ekicikol,1
Abdullah Sancak,1
Phyllis Robinson,1
Stefan Pacovski,1
Horatio I. Davis,2
Nahida Esmail,3
Yakup Kagan,1
Brian Turk,6
Yusuf Malik,1
Michael Anthony Samuel,2
Fethi Yaman,2
K. Fatma Canan,1
D. Omer Guney,2
Thomas Petriano,2
Murat Erdin,2
Mary Lahaj,6
Mustafa Akdag,1
Ismail Eren,1
Dr. Steve Sablack,1
Baha Abushagra,1
Dr. Sami Polatoz,7
Hakan Ufuk,2
Rosemary Steel,1
Etga Ugur,1
H. Baki,2
Mahmud Al-hakem,1
F. Begum Cicek,1
K. Olgun,1
Salih Seref Duran,1
M. Fethullah Gülen,2
Bilal Sarimeseli,3
Zulma Suro,1
Onur Stevens,4
Keneth Erfelua,1
Humayun Mujahid,1
Onyeagolu Tochukwu,1
John N. Dorner,1
Chris Roe,1
Scott C. Alexander,2
Asim Guvenalp,1
Bruce J. Parker,1
Sait Yavuz,1
Dr. Muhammed Ali Albar,3
Dr. Muhammad Tariq Chaudhary,1
H. Adam,1
Tankut Yalcinoz,2
Lisa Villarroel & Matthew Jager,1
David Ozey,1
Kathleen V. Tatem,1
Jacob Hardy,5
Muhammed Emin,2
Muhit Mert,1
Rafiq Ebrahim,4
Emily Secen,1
June Dayle Jelm,1
Bahar Cetin,1
Ali Oguz Er,1
Bekir Karlik,1
Andrew Kosorok,1
Bayram Yenikaya,2
Murat Yukseldi,1
Jon Schuck,1
Abdullah Bin Mubarak,1
O. Faruk Gulduren,1
